,file_path,label
0,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/21-rotated3-rotated3-rotated1.jpg,fractured
1,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/35-rotated2-rotated2.jpg,fractured
2,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/19-rotated3-rotated2.jpg,fractured
3,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/105-rotated1-rotated1-rotated1.jpg,fractured
4,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/12-rotated1-rotated1.jpg,fractured
5,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/64-rotated2-rotated2-rotated1.jpg,fractured
6,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/110-rotated3-rotated3-rotated1.jpg,fractured
7,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/105-rotated2-rotated3-rotated1.jpg,fractured
8,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/91-rotated2-rotated1-rotated3.jpg,fractured
9,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/42-rotated1-rotated3.jpg,fractured
10,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/81-rotated1-rotated3-rotated2.jpg,fractured
11,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/121-rotated1-rotated1-rotated1.jpg,fractured
12,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/28-rotated2-rotated3.jpg,fractured
13,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/18-rotated1-rotated3-rotated3.jpg,fractured
14,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/115-rotated1-rotated3-rotated2.jpg,fractured
15,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/66-rotated3-rotated3-rotated3.jpg,fractured
16,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/15-rotated3-rotated2-rotated1.jpg,fractured
17,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/31-rotated2-rotated2-rotated3.jpg,fractured
18,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/103-rotated3-rotated1-rotated3.jpg,fractured
19,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/69-rotated1-rotated2-rotated1.jpg,fractured
20,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/86-rotated1-rotated1-rotated3.jpg,fractured
21,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/13-rotated2-rotated1-rotated1.jpg,fractured
22,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/107-rotated3-rotated3.jpg,fractured
23,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/28-rotated2-rotated1-rotated3.jpg,fractured
24,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/74-rotated2-rotated2-rotated3.jpg,fractured
25,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/28-rotated1-rotated1.jpg,fractured
26,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/92-rotated3-rotated2-rotated3.jpg,fractured
27,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/117-rotated1-rotated1-rotated3.jpg,fractured
28,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/66-rotated1-rotated2.jpg,fractured
29,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/85-rotated2-rotated2-rotated1.jpg,fractured
30,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/19-rotated3-rotated1-rotated1.jpg,fractured
31,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/93-rotated2-rotated1-rotated2.jpg,fractured
32,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/18-rotated1-rotated2.jpg,fractured
33,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/52-rotated1.jpg,fractured
34,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/26-rotated2-rotated2-rotated2.jpg,fractured
35,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/71-rotated3-rotated1.jpg,fractured
36,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/13-rotated1-rotated3-rotated2.jpg,fractured
37,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/103-rotated2-rotated2-rotated1.jpg,fractured
38,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/57-rotated1-rotated2-rotated3.jpg,fractured
39,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/113-rotated1-rotated3.jpg,fractured
40,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/92-rotated1-rotated3-rotated2.jpg,fractured
41,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/45-rotated3-rotated3-rotated3.jpg,fractured
42,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/10-rotated2-rotated3-rotated3.jpg,fractured
43,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/119-rotated3.jpg,fractured
44,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/20-rotated2-rotated2-rotated1.jpg,fractured
45,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/75-rotated1-rotated3-rotated3.jpg,fractured
46,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/97-rotated3-rotated1.jpg,fractured
47,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/54-rotated3-rotated1-rotated2.jpg,fractured
48,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/53-rotated3-rotated3-rotated3.jpg,fractured
49,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/37-rotated2-rotated2-rotated3.jpg,fractured
50,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/117-rotated3-rotated3.jpg,fractured
51,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/17-rotated2-rotated1-rotated3.jpg,fractured
52,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/51-rotated3-rotated2-rotated2.jpg,fractured
53,/kaggle/input/bone-fracture-detection-using-xrays/archive (6)/train/fractured/88-rotated1-rotated3-rotated3.jpg,fractured
